data,moeda,close,media_movel_200
2024-05-19,ETH/USDT,3071.19,2741.2297999999996
2024-05-20,ETH/USDT,3661.78,2750.5346999999997
2024-05-21,ETH/USDT,3789.6,2760.31915
2024-05-22,ETH/USDT,3737.73,2769.7301
2024-05-23,ETH/USDT,3783.61,2779.1896
2024-05-24,ETH/USDT,3728.28,2788.3262499999996
2024-05-25,ETH/USDT,3749.26,2797.6462
2024-05-26,ETH/USDT,3826.47,2807.3379500000005
2024-05-27,ETH/USDT,3894.22,2816.2024499999998
2024-05-28,ETH/USDT,3844.69,2825.0373
2024-05-29,ETH/USDT,3767.43,2833.6086
2024-05-30,ETH/USDT,3747.91,2842.1247500000004
2024-05-31,ETH/USDT,3762.29,2850.66795
2024-06-01,ETH/USDT,3815.82,2859.8501
2024-06-02,ETH/USDT,3780.91,2868.4622499999996
2024-06-03,ETH/USDT,3767.06,2877.4887
2024-06-04,ETH/USDT,3810.23,2886.7357500000003
2024-06-05,ETH/USDT,3865.99,2896.2526999999995
2024-06-06,ETH/USDT,3813.46,2905.26265
2024-06-07,ETH/USDT,3678.32,2913.5472499999996
2024-06-08,ETH/USDT,3681.57,2922.2900499999996
2024-06-09,ETH/USDT,3706.4,2930.506
2024-06-10,ETH/USDT,3667.85,2938.5342499999997
2024-06-11,ETH/USDT,3497.33,2945.6167
2024-06-12,ETH/USDT,3560.12,2953.00185
2024-06-13,ETH/USDT,3469.4,2960.0372
2024-06-14,ETH/USDT,3481.8,2967.3087
2024-06-15,ETH/USDT,3568.74,2974.9116999999997
2024-06-16,ETH/USDT,3624.41,2982.8896999999997
2024-06-17,ETH/USDT,3511.46,2990.1872
2024-06-18,ETH/USDT,3483.42,2997.1681
2024-06-19,ETH/USDT,3560.51,3004.1469500000003
2024-06-20,ETH/USDT,3513.08,3010.7476
2024-06-21,ETH/USDT,3518.5,3017.12325
2024-06-22,ETH/USDT,3495.75,3023.1353499999996
2024-06-23,ETH/USDT,3420.91,3029.0764
2024-06-24,ETH/USDT,3352.73,3034.0614
2024-06-25,ETH/USDT,3394.91,3039.24235
2024-06-26,ETH/USDT,3371.44,3044.3970999999997
2024-06-27,ETH/USDT,3450.44,3049.88735
2024-06-28,ETH/USDT,3380.15,3055.6625
2024-06-29,ETH/USDT,3378.8,3061.5391999999997
2024-06-30,ETH/USDT,3438.16,3067.4292
2024-07-01,ETH/USDT,3442.2,3073.0636
2024-07-02,ETH/USDT,3421.35,3079.0678500000004
2024-07-03,ETH/USDT,3295.48,3084.4004500000005
